x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1084,965,134,1072,559,728,571,121,258,299
669,846,143,763,668,588,564,346,633,471
519,1019,133,612,377,809,566,971,976,829
558,1404,123,1079,419,342,563,572,666,544
920,943,129,1658,670,571,566,402,224,536
1294,1215,132,784,341,1397,559,-277,833,550
389,822,119,351,708,1159,570,1075,1037,1267
883,959,124,1342,608,636,561,151,410,829
703,1878,114,292,140,925,559,630,137,1000
693,831,129,1285,616,240,555,310,1000,1141
1123,544,138,841,486,865,560,563,689,691
483,1022,128,665,327,746,562,616,1013,869
747,518,142,790,614,744,550,362,510,685
586,383,132,-28,372,1179,550,521,945,830
979,135,130,1372,578,370,569,-160,223,594
493,995,130,896,608,414,560,-131,528,947
775,120,128,444,347,554,567,1032,879,753
1011,744,139,439,723,179,559,301,402,565
761,478,148,787,387,1004,567,796,782,923
410,705,136,153,744,1190,569,-125,269,646
-43,644,140,617,777,627,559,447,38,370
415,347,143,923,261,-74,551,163,461,474
553,631,147,803,426,395,551,736,619,567
392,1468,130,641,865,-129,551,377,991,726
512,1715,144,1209,689,910,552,626,557,771
816,95,138,2019,566,805,567,473,732,901
404,1417,145,881,470,-64,559,373,495,893
-29,586,135,860,960,679,550,973,587,888
811,1044,150,949,602,815,555,641,194,827
198,701,137,1045,482,660,554,-307,574,442
746,966,136,1003,205,327,558,542,930,1130
547,606,143,1055,487,395,558,605,711,831
541,491,155,165,444,938,550,377,885,338
1121,582,145,1061,465,896,558,563,353,877
381,361,141,1289,702,337,563,648,659,567
817,810,143,852,755,1121,566,607,1091,1079
599,291,142,1037,507,701,568,200,255,651
1167,542,135,792,568,633,564,-55,873,728
430,581,153,863,642,1122,564,569,182,664
1131,287,150,709,476,-84,551,138,809,729
910,1180,160,837,380,789,547,424,511,433
236,1086,162,791,281,587,537,125,353,451
557,797,158,568,793,796,543,645,588,508
718,872,152,850,662,591,554,325,625,652
547,707,153,886,986,119,541,534,1226,372
400,513,167,274,818,363,540,85,442,947
690,1145,153,1007,616,807,556,450,343,473
577,706,160,949,465,107,546,407,998,1080
214,428,158,189,530,599,554,85,667,1071
921,776,150,715,722,69,536,712,574,820
1027,451,157,761,502,697,556,180,124,1114
940,771,161,1149,333,494,546,439,649,878
518,744,155,1031,442,396,542,629,71,739
842,623,166,494,650,336,554,329,1011,655
212,1057,160,403,316,-195,549,890,1014,756
280,1063,152,1257,147,1041,545,390,679,752
429,854,154,1202,328,791,536,326,714,911
980,312,161,697,548,795,545,520,61,1089
375,972,171,1260,564,642,537,327,557,591
941,536,161,1304,403,783,542,610,610,304
322,809,158,682,880,938,540,689,1252,667
771,585,166,1470,542,1011,555,853,516,1223
924,562,156,851,775,1560,543,65,927,710
573,917,158,504,392,-46,539,757,1068,826
811,447,166,1219,700,1102,532,425,622,910
735,231,171,639,453,597,534,510,529,657
793,686,160,616,504,718,529,337,819,973
583,249,169,324,328,703,530,460,413,1009
609,250,167,464,563,396,520,242,449,515
436,429,164,1040,545,1122,518,148,593,1328
1089,720,173,818,268,1027,512,681,367,1000
894,-212,163,684,680,499,509,32,1231,841
548,737,169,1510,515,281,514,126,150,224
223,444,157,947,462,823,509,497,913,242
824,1242,157,1215,314,1195,510,292,1006,887
622,445,158,1649,414,535,518,20,826,961
850,1024,172,1250,312,294,519,862,823,683
578,1203,163,581,761,283,508,90,721,713
610,439,166,643,660,440,500,214,490,1074
1123,545,154,756,594,458,510,613,397,469
570,331,163,1712,426,-49,500,733,610,699
260,1259,158,931,426,275,500,721,548,1034
903,642,148,1288,817,201,499,740,583,675
201,659,156,1163,362,524,502,-113,744,457
639,724,138,863,638,953,491,36,724,692
711,72,156,977,566,1099,497,400,-4,457
31,286,158,659,317,890,490,533,235,738
477,435,147,109,453,239,499,957,470,513
477,409,151,1171,597,484,497,884,532,1020
961,935,153,989,90,165,494,181,900,585
732,487,157,1270,700,518,509,-157,354,949
842,820,146,1257,401,246,499,364,729,876
739,1038,154,385,453,219,495,397,743,1147
769,1013,139,1171,890,950,495,843,615,548
440,411,152,1281,388,555,494,756,473,626
627,-523,149,327,440,1039,508,251,272,568
543,756,146,1045,491,922,498,136,191,688
425,1259,140,1494,422,640,504,200,899,1017
506,132,143,765,308,856,489,254,485,577
637,1349,146,1222,448,1047,497,990,790,1285
617,650,147,479,240,616,496,417,1107,999
838,667,137,807,398,951,498,114,1091,981
168,572,138,941,361,-20,491,522,460,724
242,1002,130,631,425,817,508,698,1480,825
393,724,147,952,818,791,505,-235,747,701
413,765,130,801,576,509,493,530,511,806
797,-27,120,1311,313,692,494,521,909,442
859,641,110,578,670,864,503,1065,1031,785
884,-250,122,784,735,675,494,598,1138,1127
1114,1087,122,829,643,1007,492,590,45,814
602,1328,116,729,242,404,491,572,41,879
421,72,126,129,330,1123,503,409,421,1269
394,290,119,647,219,882,494,526,1033,528
19,1145,127,813,406,786,496,687,407,1171
381,332,126,205,221,1332,487,719,102,836
1089,775,118,985,424,868,494,589,816,781
673,944,112,1408,192,759,503,-420,181,452
860,403,110,1139,575,480,497,47,686,501
718,683,114,98,454,951,501,607,507,735
749,1087,119,1127,652,699,497,630,51,520
342,415,121,1619,189,810,485,178,201,739
787,796,109,1147,537,508,503,-12,941,1196
873,687,117,667,615,741,494,446,433,1055
676,706,113,1333,374,1087,484,727,702,944
281,1094,118,175,236,374,494,643,951,1182
439,350,112,809,658,-173,497,-10,799,1051
710,609,191,690,321,779,599,396,63,727
735,967,201,1528,312,992,594,418,261,1022
340,920,184,872,426,974,594,492,808,883
561,731,194,985,342,209,607,803,1059,351
761,-4,199,1277,371,505,607,482,917,1139
488,527,201,736,154,675,590,393,48,721
754,629,201,1307,221,956,604,672,777,760
816,1284,192,660,318,283,599,717,561,509
803,107,189,1268,672,767,596,309,866,607
886,1264,202,804,197,311,591,-2,477,654
935,945,191,1763,514,469,596,1041,726,544
542,133,192,689,495,798,589,759,964,1093
563,789,184,1568,345,1369,608,805,134,590
231,201,193,711,501,1063,599,284,802,375
1303,1106,191,613,312,135,597,678,727,365
836,919,186,985,448,811,594,666,562,876
571,861,195,742,599,888,599,364,940,531
715,1136,203,524,777,3,606,903,469,959
402,788,191,380,529,680,607,138,523,741
539,771,193,837,565,844,592,680,756,999
732,515,195,611,207,190,604,250,411,571
152,1675,315,1145,255,-50,498,562,578,688
912,471,317,817,469,807,493,323,604,546
531,469,323,602,487,1182,507,436,257,967
494,380,323,1136,450,794,493,312,876,990
743,272,313,403,394,155,497,240,1153,921
-144,861,308,1049,636,747,490,-103,568,1121
716,938,318,1063,824,733,500,403,841,906
778,759,308,579,688,934,499,811,1054,492
631,1401,301,437,461,693,496,60,416,545
235,226,308,615,634,437,493,-22,640,729
198,1039,302,951,297,180,499,419,584,1148
1206,679,304,786,481,496,498,840,1051,1032
704,684,308,923,351,493,493,-203,700,864
117,442,305,1176,66,384,495,460,790,1132
408,1350,299,747,280,507,504,380,655,998
133,992,298,667,662,573,509,726,1109,784
452,777,300,860,589,687,513,808,835,1107
702,1052,301,1223,598,418,494,686,922,1261
701,871,290,169,487,520,510,549,142,586
816,742,298,612,462,369,517,656,722,995
762,511,302,1989,494,340,509,64,695,842
476,759,293,943,264,405,515,384,696,587
519,921,306,1463,190,909,521,600,589,817
590,726,294,-165,714,69,520,375,633,939
1199,261,288,1437,282,761,525,446,835,255
347,382,298,795,615,72,518,201,475,452
410,566,303,590,221,360,518,-75,561,662
757,543,302,926,472,1267,518,245,736,1079
816,633,298,1191,767,-241,522,199,418,1385
809,58,292,778,475,494,514,-35,179,1124
314,224,306,1356,461,460,512,182,1072,809
798,741,307,-178,578,443,518,794,988,878
521,301,306,831,368,417,528,859,834,700
123,227,302,597,561,563,526,417,-93,808
692,345,297,975,617,790,530,687,562,607
628,989,310,1339,783,1087,529,478,555,587
1088,471,302,393,841,234,528,650,579,649
645,378,311,853,334,850,533,615,345,847
307,903,307,81,460,317,524,690,778,615
669,786,318,-7,108,574,525,-122,1057,920
1026,380,303,732,546,768,541,649,394,919
691,-149,312,1321,327,-99,523,695,737,1056
78,669,314,1042,671,543,538,114,541,819
435,445,302,653,751,1345,532,391,829,881
642,932,312,292,251,767,534,452,929,905
546,828,309,671,738,974,529,508,964,723
455,63,314,1164,454,639,534,201,590,1063
771,757,319,213,812,726,526,543,845,1005
488,400,307,845,574,189,539,449,648,952
551,1519,315,773,360,606,537,244,333,1042
1041,361,315,827,644,710,525,538,1040,921
747,629,314,1256,360,810,535,14,636,850
571,794,318,570,468,43,532,801,173,419
160,899,311,1156,318,511,544,574,994,407
239,1778,307,607,309,683,540,738,625,768
517,600,317,918,700,85,538,563,710,513
314,690,307,1110,737,572,538,186,-115,731
368,281,316,1438,640,232,536,384,702,615
803,739,318,1489,996,655,540,928,171,502
929,581,308,1210,740,151,535,8,407,646
343,841,324,1110,158,534,543,890,126,474
608,894,334,1373,706,338,546,630,845,601
407,798,336,913,390,1134,555,152,566,970
360,917,335,605,720,486,556,233,762,996
776,659,324,676,238,776,548,-71,671,827
609,1061,335,1336,417,1548,547,396,643,382
1078,1384,334,451,582,1248,547,649,230,729
462,911,343,-415,637,513,556,83,775,619
659,961,327,574,675,534,542,407,697,910
695,780,336,874,473,198,548,155,584,474
753,558,340,996,285,636,541,260,438,705
639,712,343,332,637,918,545,957,981,682
1570,-53,336,1017,396,1183,539,579,464,367
233,1304,337,958,520,856,549,288,478,778
416,628,340,1653,256,480,553,955,662,451
916,302,338,1070,544,494,554,151,902,483
620,245,334,1662,776,439,539,666,711,752
742,585,327,592,665,658,556,985,1461,1010
1194,813,344,609,297,367,552,1111,486,991
745,800,344,773,254,537,550,598,379,985
238,628,343,1037,583,128,560,-7,72,933
886,524,337,899,815,896,560,310,1503,387
899,554,344,810,469,-204,551,774,369,627
466,1220,343,1743,168,465,561,377,816,789
153,886,338,690,500,832,557,432,837,737
793,827,347,891,434,1479,554,583,683,547
953,836,335,213,293,853,554,592,839,1026
843,970,343,1168,768,711,562,885,743,695
416,191,344,577,334,215,557,306,1111,1096
1008,838,337,1183,533,389,565,890,455,1020
1126,418,338,719,412,912,554,350,257,589
182,830,346,693,544,632,553,473,566,918
705,962,347,439,320,508,562,740,890,690
602,385,342,1486,503,339,571,378,597,572
475,534,334,1448,582,983,561,598,653,811
1367,1295,347,1257,701,737,576,722,391,1030
728,565,341,-163,906,258,569,482,732,867
460,906,341,732,627,847,577,417,1329,752
696,367,352,1339,465,246,576,792,1099,1193
611,1129,345,820,437,544,575,243,613,1086
592,101,337,434,360,956,582,516,53,930
400,531,335,1514,816,961,591,454,88,797
899,599,332,437,609,1194,575,604,693,1069
169,680,334,1059,477,612,585,134,399,1025
952,540,326,1392,655,650,576,243,1076,827
1124,314,326,9,207,669,580,309,239,769
572,54,332,1064,680,501,592,919,807,715
275,956,325,811,476,1284,581,341,447,187
431,406,327,655,701,764,591,715,743,1106
553,1004,324,959,385,372,601,532,580,887
539,697,319,651,386,749,594,392,459,961
701,712,330,1371,441,516,585,713,863,863
863,592,320,1118,563,457,599,593,736,748
608,712,336,1486,305,916,595,1012,731,1215
1301,624,331,715,431,1177,584,221,525,1063
341,1082,324,1133,417,529,593,659,667,619
1037,574,318,1111,886,1257,595,382,854,454
253,869,332,1192,331,1066,587,143,833,907
515,235,329,1142,496,1018,593,95,758,1069
59,725,320,1322,199,560,596,607,269,980
228,1287,330,829,233,711,595,652,1172,889
829,790,316,-100,363,877,583,1011,372,756
951,319,323,1566,282,730,593,434,615,442
357,736,329,372,554,438,595,819,657,656
885,498,313,1810,319,628,591,489,584,625
538,888,326,183,951,379,586,839,104,721
1161,579,313,124,837,472,600,562,814,970
1164,660,321,449,312,797,596,550,823,885
1074,299,315,1615,509,869,602,969,772,818
1215,1153,322,2048,738,1421,594,580,506,1147
322,130,325,772,633,792,600,499,763,847
707,481,313,450,880,581,591,444,953,1071
1053,1030,326,165,368,946,601,394,1065,779
971,550,321,823,623,780,603,233,573,638
1217,325,327,546,695,745,596,781,32,862
162,550,316,1428,591,526,596,529,804,814
559,579,312,1281,36,1024,606,547,457,1016
441,734,309,1527,540,1172,606,594,656,593
543,1600,309,529,663,876,594,719,1590,287
778,885,318,1202,298,433,604,-417,674,643
774,723,320,-2,801,335,592,0,1121,1013
499,337,311,1428,547,474,598,414,287,1047
829,917,308,1134,469,850,590,352,672,720
487,73,312,839,402,63,591,166,511,774
368,725,317,970,197,730,594,282,873,1047
444,668,313,1499,840,76,603,618,638,821
1062,403,302,912,704,127,605,358,896,661
490,968,310,1531,852,461,602,92,1236,761
732,949,300,979,408,713,599,835,389,1072
257,1111,305,359,385,683,609,609,380,1125
746,883,305,652,696,1092,603,772,717,779
759,538,295,1488,586,414,599,174,655,885
770,960,295,723,506,480,597,850,655,631
427,757,302,1239,244,1083,591,195,514,641
906,471,294,1643,627,569,599,342,337,620
473,286,286,1099,536,1053,591,361,283,434
519,553,298,901,151,570,606,572,900,859
686,664,300,800,361,372,591,45,671,962
705,875,300,1102,197,769,589,519,1162,737
592,1200,303,347,407,855,593,193,1103,1036
399,170,295,1237,158,512,600,1000,258,828
561,512,285,863,550,380,597,161,358,793
-7,-11,282,387,312,994,594,199,458,872
887,814,283,1444,184,390,605,599,925,1118
245,1231,285,990,606,411,607,205,423,1032
944,1029,285,1010,488,623,596,422,642,834
580,863,276,744,306,278,586,-367,1095,1362
655,1114,281,755,707,374,589,-163,983,1019
1023,570,297,1119,663,548,503,318,915,632
590,1315,304,1665,482,1125,501,198,141,678
487,602,290,413,711,674,494,450,110,942
415,770,299,980,509,367,497,697,542,1003
582,1070,305,852,310,697,497,415,529,1160
586,743,288,687,747,701,511,874,866,954
1060,614,298,384,696,605,502,505,873,880
1056,1013,291,1301,671,-38,507,345,1049,468
689,959,305,1213,641,1096,493,175,855,976
-43,553,300,1708,234,845,503,-77,498,641
1129,867,307,612,554,556,496,582,687,669
895,296,304,1131,302,329,506,768,987,701
280,871,290,434,599,1198,501,49,796,750
947,-76,300,845,534,405,500,706,649,732
848,228,290,554,232,567,505,391,1084,764
1165,302,307,1110,323,1034,509,808,608,533
530,711,295,739,535,374,496,464,317,409
674,1272,295,845,383,1463,500,-130,748,646
356,793,291,531,448,966,502,373,867,1086
825,163,301,894,334,781,498,-255,955,149
636,486,295,1282,417,1026,504,231,966,963
936,599,309,-21,423,1114,496,688,997,833
846,1522,314,663,352,214,487,703,735,1501
969,473,307,892,458,1309,496,718,554,1051
68,657,316,1297,665,126,478,618,513,806
336,315,325,629,252,620,483,630,725,941
564,107,329,1466,608,254,491,891,966,701
557,975,332,722,243,814,479,865,230,567
1018,902,321,537,190,612,483,655,-76,831
407,896,320,679,130,1224,481,773,1145,1015
380,822,331,943,588,654,474,431,339,638
621,744,326,875,443,620,483,872,483,792
1132,974,318,400,315,393,479,67,451,997
659,441,319,710,614,501,478,671,609,531
709,903,328,742,517,1155,483,796,157,424
448,429,333,1038,389,425,484,460,1062,989
78,-127,337,428,580,1310,476,-48,837,509
415,680,331,694,531,362,477,289,442,756
630,455,322,935,547,691,480,-95,330,440
720,259,332,554,522,1302,484,467,789,898
775,744,341,413,780,1189,478,576,905,537
737,656,339,724,607,661,493,522,653,599
154,249,330,524,417,34,486,250,412,546
937,1188,336,273,871,52,487,-120,872,689
1448,274,346,657,643,513,488,539,695,482
641,414,351,863,284,1176,495,631,163,1028
519,38,340,894,661,944,478,192,450,1103
89,203,346,1339,375,743,479,-82,1025,748
497,803,356,-20,161,560,483,222,557,744
451,1224,347,652,614,659,488,563,74,445
546,505,346,904,662,493,490,-123,856,760
1156,618,345,1153,641,-131,484,296,356,843
875,866,354,301,887,1022,490,443,628,396
1291,773,344,739,837,1125,497,909,329,766
619,221,362,1884,432,885,500,630,261,629
456,1164,351,666,472,308,481,1013,768,1220
1109,161,344,707,567,1189,483,798,981,262
228,1144,352,737,538,839,498,614,1066,607
573,472,360,752,274,573,491,665,981,519
413,539,355,1158,531,992,494,529,951,780
446,835,357,523,494,281,482,254,592,1241
395,197,369,1710,487,833,497,521,715,682
817,814,368,1111,703,831,486,29,1322,388
703,764,350,1319,771,717,494,490,567,609
534,492,350,-113,569,878,481,91,744,884
600,702,379,1111,158,343,590,473,824,556
371,733,372,1300,633,765,597,621,542,445
180,311,380,792,376,907,587,249,800,413
686,-70,370,1672,824,186,591,482,351,1259
979,375,380,1336,341,584,595,381,567,706
471,1175,381,755,593,890,590,818,647,968
809,448,565,768,443,783,486,591,587,919
537,1306,567,962,606,570,495,514,553,889
677,991,555,559,975,255,493,718,368,660
961,1007,566,477,397,575,486,595,523,1133
346,975,566,365,466,440,494,797,415,743
471,686,571,792,444,28,491,279,331,790
807,852,556,1545,260,462,488,409,221,781
895,909,573,1299,808,511,482,174,539,950
-9,840,567,1011,764,953,491,671,1589,901
-217,787,558,734,244,109,496,274,386,952
777,729,573,1289,719,1018,489,559,1126,709
229,917,561,598,295,52,489,307,284,307
1149,439,577,715,467,728,485,938,1250,969
554,1109,573,-231,556,1124,497,388,797,932
532,1011,566,1546,414,893,490,117,691,691
749,442,567,1260,642,786,500,778,399,635
1394,1166,575,1611,330,132,510,180,840,770
1098,572,564,1219,191,424,509,642,782,554
521,1214,564,449,473,524,496,646,679,619
394,1617,576,1044,520,293,501,464,343,592
1314,1282,564,1309,618,308,510,596,99,503
256,405,566,1839,342,1076,520,302,398,386
332,637,570,704,617,852,522,235,-27,894
472,691,567,888,646,453,527,526,786,713
902,693,566,783,601,758,520,472,255,1002
498,790,566,572,726,559,531,502,1080,795
1122,936,564,1572,877,691,534,1185,376,768
1109,298,570,360,776,354,536,614,1125,1086
484,563,567,461,649,836,533,394,809,593
767,849,563,1044,390,316,538,-4,501,529
530,920,560,1005,438,306,523,449,762,232
1345,942,566,1679,90,249,532,474,297,858
281,882,567,639,557,443,534,1096,1373,719
919,696,559,856,542,321,528,275,1162,293
567,307,566,287,266,1157,536,561,493,81
225,1116,560,336,429,863,530,629,483,838
429,282,574,1403,800,916,528,580,559,438
689,509,573,886,472,513,530,448,692,952
349,560,566,1477,548,765,538,-11,369,863
364,690,566,1060,475,1098,542,574,763,889
473,334,562,174,711,725,537,331,994,932
512,466,571,845,392,442,547,91,996,711
668,156,567,1155,493,343,557,648,1251,675
131,369,577,888,637,534,557,877,647,686
863,857,561,466,590,531,555,218,854,888
434,428,560,782,627,791,565,659,1004,698
103,391,567,679,735,494,573,574,468,700
864,1652,572,1250,403,892,571,427,205,575
760,610,571,973,644,1237,570,1,707,506
687,414,566,577,686,598,567,206,313,1157
719,395,567,806,349,691,580,1,240,791
975,1359,575,457,495,490,579,969,586,871
782,720,571,1204,580,210,589,647,762,960
142,514,568,402,383,315,595,348,143,946
1296,507,565,1008,643,902,586,102,1094,1324
468,855,559,600,175,567,544,-26,321,1238
875,511,549,711,336,514,534,657,574,1279
969,1018,563,1039,664,814,536,726,366,441
549,1042,549,213,313,761,544,269,637,734
